,genus,species,NCBI tax ID,motility,gram stain,range,optimum,GC-content,oxygen tolerance,Total samples,soil counts,aquatic counts,plant counts,metabolite,is antibiotic,is resistant
0,Bacteroides,Bacteroides uniformis,"[411479, 411479, 411479, 411479, 411479, 820, 820, 821, 820, 411479, 411479, 821, 820, 821, 411479, 820, 1818881, 37921, 2030882, 1914300, 2030800, 1889775, 1776391, 1776382]",['no'],"['negative', 'negative']",37,,"['46.0', '46.4', '47.8', '46.4', '46']","['anaerobe', 'anaerobe', 'microaerophile', 'anaerobe']",385351.0,4816.0,15505.0,1489.0,,,
0,Bacteroides,Bacteroides thetaiotaomicron,"[818, 818, 818, 2052143, 2026886]",,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides thetaiotaomicron,"[818, 226186, 818, 818, 818, 226186, 226186, 226186, 818, 818, 818, 226186, 226186, 818, 1924106, 2015801, 2052154, 2048971, 2004513, 2052162, 2052151, 2052153]",,,37,,"['42.0', '42.9', '42']","['anaerobe', 'anaerobe']",,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides pyogenes,"[1235809, 1235809, 1235809, 2762020]",,,37,,"['44.2', '42.6', '46.7']","['anaerobe', 'anaerobe']",38767.0,529.0,520.0,142.0,,,
0,Bacteroides,Bacteroides pyogenes,"[1121100, 1121100, 1121100, 1121100, 1121100, 1121100, 2758719, 1093625]",,,37,,"['46.7', '46.8', '46.6']","['anaerobe', 'anaerobe']",38767.0,529.0,520.0,142.0,,,
0,Bacteroides,Bacteroides pyogenes,"[310300, 310300, 1235813, 310300, 310300, 310300, 310300, 1235813, 1235813, 2740537, 351057, 2065362]",,,37,,"['48', '46.9', '47']",anaerobe,,,,,,,
0,Bacteroides,Bacteroides ovatus,"[28116, 411476, 28116, 28116, 28116, 28116, 411476, 28116, 411476, 28116, 28116, 28116, 28116, 411476, 28116, 1734031, 2750078, 2841257, 2478481, 1655500, 271881, 2587528, 246132]",,,37,,"['40.0', '41.9', '40']","['anaerobe', 'anaerobe', 'obligate anaerobe']",79597.0,195.0,1522.0,66.0,,,
0,Bacteroides,Bacteroides helcogenes,"[693979, 693979, 693979, 693979]",,,37,,"['45.7', '44.7', '45', '45.7']","['anaerobe', 'anaerobe']",16335.0,150.0,105.0,30.0,,,
0,Bacteroides,Bacteroides galacturonicus,"[384639, 384639, 2816859]",,,,,36.0,anaerobe,94523.0,342.0,1822.0,202.0,,,
0,Bacteroides,Bacteroides fragilis,"[2838708, 452435, 749450, 658266]",,,,,,anaerobe,221995.0,2825.0,7159.0,810.0,,,
0,Bacteroides,Bacteroides fragilis,"[2813037, 2838470, 904990, 2838633]",,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides fragilis,"[2733571, 2774191, 1664347]",,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides fragilis,"[272559, 817, 272559, 272559, 272559, 272559, 817, 817, 817, 272559, 272559, 817, 272559, 2783868, 2795026, 2747605, 2758030, 2762014, 2518605, 191287, 257465, 191625, 2764322]",,,37,,"['42.0', '43.1', '42']","['anaerobe', 'anaerobe']",221995.0,2825.0,7159.0,810.0,,,
0,Bacteroides,Bacteroides fragilis,"[1689834, 2838737, 398174, 100233]",,,37,,43.0,anaerobe,,,,,,,
0,Bacteroides,Bacteroides eggerthii,"[28111, 483216, 28111, 483216, 28111, 483216, 28111, 2040291, 357441, 2614249]",,,37,,"['46.0', '44.6', '44.2']","['anaerobe', 'anaerobe']",175544.0,2463.0,9244.0,713.0,,,
0,Bacteroides,Bacteroides propionicigenes,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides parvus,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides hominis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides facilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides faecichinchillae,871325,,,,,,,,,,,,,
0,Bacteroides,Bacteroides xylanisolvens,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides mediterraneensis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides ndongoniae,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides thetaiotaomicron,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,2546201,,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,"[457390, 2006980]",,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,"[457387, 457387, 2508296, 2320431, 2023991]",,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,713059,,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides caecigallinarum,,,,,,,,3395.0,49.0,50.0,33.0,,,
0,Bacteroides,Bacteroides sedimenti,,,,,,37.5,,208.0,13.0,160.0,3.0,,,
0,Bacteroides,Bacteroides zhangwenhongii,2650157,,,,,42.6,,3046.0,8.0,19.0,1.0,,,
0,Bacteroides,Bacteroides luhongzhouii,2650158,,,,,41.5,,,,,,,,
0,Bacteroides,Bacteroides cellulosilyticus,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,,79597.0,195.0,1522.0,66.0,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,221995.0,2825.0,7159.0,810.0,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,221995.0,2825.0,7159.0,810.0,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,221995.0,2825.0,7159.0,810.0,,,
0,Bacteroides,Bacteroides stercorirosoris,,,,,,44.6,,56164.0,312.0,659.0,284.0,,,
0,Bacteroides,Bacteroides faecis,,,,,,42.7,,7978.0,20.0,257.0,2.0,,,
0,Bacteroides,Bacteroides propionicifaciens,,,,,,46.2-47.5,,12248.0,269.0,288.0,138.0,,,
0,Bacteroides,Bacteroides gallinarum,,,,,,47.3,,,,,,,,
0,Bacteroides,Bacteroides uniformis,"[820, 820]",,,,,,,385351.0,4816.0,15505.0,1489.0,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides intestinalis,,,,,,,,73416.0,511.0,1390.0,242.0,,,
0,Bacteroides,Bacteroides togonis,1917883,,,,,,,,,,,,,
0,Bacteroides,Bacteroides bouchesdurhonensis,1841855,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,817,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,221995.0,2825.0,7159.0,810.0,,,
0,Bacteroides,Bacteroides salyersiae,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides caccae,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides caccae,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides thetaiotaomicron,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides thetaiotaomicron,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides faecalis,"[2447885, 2447885, 2447885, 2518622]","['no', 'no']","['negative', 'negative']",15-37,37,39.5,"['anaerobe', 'obligate anaerobe']",,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,817,,,,,,,221995.0,2825.0,7159.0,810.0,,,
0,Bacteroides,Bacteroides eggerthii,28111,,,,,,,175544.0,2463.0,9244.0,713.0,,,
0,Bacteroides,Bacteroides kribbi,"[1912894, 1912894, 2750929]",no,negative,15-40,37,42.4-42.6,anaerobe,,,,,,,
0,Bacteroides,Bacteroides koreensis,"[1912896, 1912896, 2981993]",no,negative,15-40,37,44.8,anaerobe,79597.0,195.0,1522.0,66.0,,,
0,Bacteroides,Bacteroides cellulosilyticus,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides finegoldii,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides intestinalis,"[329854, 2682970, 543364]",,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides intestinalis,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides congonensis,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides thetaiotaomicron,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides thetaiotaomicron,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides thetaiotaomicron,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides finegoldii,,,,,,,anaerobe,,,,,,,
0,Phocaeicola,Phocaeicola faecicola,,,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola sartorii,,,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola dorei,,,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola sp.,,,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola sp.,,,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola faecicola,,,,,,,,29208.0,507.0,2653.0,208.0,,,
0,Phocaeicola,Phocaeicola sartorii,,,,,,"['44.4', '45.4']",,121989.0,1570.0,3072.0,449.0,,,
0,Phocaeicola,Phocaeicola coprophilus,"[1342726, 1342726, 1342726, 2478464]",,,,,44.2-45.2,,74799.0,1337.0,4526.0,419.0,,,
0,Phocaeicola,Phocaeicola coprophilus,"[1342725, 1342725, 1342725]",,,,,44.2-45.2,,74799.0,1337.0,4526.0,419.0,,,
0,Phocaeicola,Phocaeicola barnesiae,,,,,,47.1,,1360.0,4.0,36.0,2.0,,,
0,Phocaeicola,Phocaeicola barnesiae,,,,,,46.9,,1360.0,4.0,36.0,2.0,,,
0,Phocaeicola,Phocaeicola barnesiae,,,,,,46.6,,1360.0,4.0,36.0,2.0,,,
0,Phocaeicola,Phocaeicola barnesiae,,,,,,46.4,,1360.0,4.0,36.0,2.0,,,
0,Phocaeicola,Phocaeicola massiliensis,,,,,,,,160405.0,946.0,6340.0,364.0,,,
0,Phocaeicola,Phocaeicola coprocola,,,,,,41.1,,170217.0,2696.0,11373.0,888.0,,,
0,Phocaeicola,Phocaeicola coprocola,,,,,,,,170217.0,2696.0,11373.0,888.0,,,
0,Phocaeicola,Phocaeicola plebeius,,,,,,,,37805.0,244.0,1112.0,94.0,,,
0,Phocaeicola,Phocaeicola plebeius,,,,,,43,,37805.0,244.0,1112.0,94.0,,,
0,Phocaeicola,Phocaeicola plebeius,,,,,,43.7,,37805.0,244.0,1112.0,94.0,,,
0,Phocaeicola,Phocaeicola plebeius,,,,,,42.4,,,,,,,,
0,Phocaeicola,Phocaeicola plebeius,,,,,,,,37805.0,244.0,1112.0,94.0,,,
0,Phocaeicola,Phocaeicola dorei,"[357276, 357276, 1773]",,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola vulgatus,"[821, 821, 1138189]",,,,,,,152509.0,881.0,2761.0,380.0,,,
0,Phocaeicola,Phocaeicola vulgatus,,,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola vulgatus,,,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola vulgatus,,,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola vulgatus,,,,,,,anaerobe,,,,,,,
0,Phocaeicola,Phocaeicola dorei,,,,,,,anaerobe,,,,,,,
0,Phocaeicola,Phocaeicola dorei,,,,,,,anaerobe,,,,,,,
0,Phocaeicola,Phocaeicola sartorii,"[1236538, 1236538, 1236538, 2614252]",,,37,,"['45.2', '44.1']",anaerobe,121989.0,1570.0,3072.0,449.0,,,
0,Phocaeicola,Phocaeicola dorei,,,,37,,,anaerobe,129385.0,671.0,4422.0,277.0,,,
0,Phocaeicola,Phocaeicola vulgatus,,,,,,,anaerobe,,,,,,,
0,Phocaeicola,Phocaeicola vulgatus,,,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola vulgatus,,,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola fibrisolvens,2981793,,,,,,,,,,,,,
0,Phocaeicola,Phocaeicola vulgatus,"[821, 821, 470, 244328]",,,,,,anaerobe,152509.0,881.0,2761.0,380.0,,,
0,Phocaeicola,Phocaeicola abscessus,"[1204719, 1204719, 1204719]",yes,negative,37,37,,"['anaerobe', 'anaerobe', 'anaerobe']",14889.0,181.0,298.0,74.0,,,
0,Phocaeicola,Phocaeicola sartorii,"[1236515, 1236515, 1236515, 671267, 2715255, 573]",,,37,,"['41.5', '43.8', '45.5']","['anaerobe', 'anaerobe']",121989.0,1570.0,3072.0,449.0,,,
0,Phocaeicola,Phocaeicola paurosaccharolyticus,"[1236498, 1236498, 1236498, 2109933]",no,negative,30,35,"['41.0', '41', '37.1', '41']","['anaerobe', 'anaerobe']",23999.0,823.0,6726.0,270.0,,,
0,Phocaeicola,Phocaeicola coprophilus,"[547042, 547042, 547042, 547042, 547042, 2651171]",no,negative,37,,"['44.7', '45.7', '44.7']","['anaerobe', 'aerobe', 'anaerobe']",74799.0,1337.0,4526.0,419.0,,,
0,Phocaeicola,Phocaeicola salanitronis,"[667015, 667015, 667015, 667015, 667015, 667015, 293331, 187319, 393692]",,,37,,"['46.9', '46.9']","['anaerobe', 'anaerobe']",7294.0,72.0,51.0,19.0,,,
0,Phocaeicola,Phocaeicola barnesiae,"[1121094, 1121094, 1121094, 1121094, 1121094, 1121094, 2448054, 227605]",,,37,,"['46.8', '46.8']","['anaerobe', 'anaerobe']",1360.0,4.0,36.0,2.0,,,
0,Phocaeicola,Phocaeicola dorei,"[357276, 483217, 357276, 483217, 483217, 357276, 1773, 1639, 2569852, 305355]",no,negative,37,37,"['43', '42.0', '43']","['anaerobe', 'anaerobe', 'anaerobe']",129385.0,671.0,4422.0,277.0,,,
0,Phocaeicola,Phocaeicola massiliensis,"[1121098, 1121098, 1121098, 1121098, 1121098, 1121098, 1121098, 1121098, 1121098, 2982028, 2816956, 2857034]",no,negative,37,37,"['49', '42.7', '49']","['anaerobe', 'anaerobe', 'anaerobe']",160405.0,946.0,6340.0,364.0,,,
0,Phocaeicola,Phocaeicola coprocola,"[470145, 470145, 470145, 470145, 2044939, 2651167, 573, 244328]",no,negative,37,37,"['42.4', '42.4']","['anaerobe', 'anaerobe']",170217.0,2696.0,11373.0,888.0,,,
0,Phocaeicola,Phocaeicola plebeius,"[484018, 484018, 484018, 2725311]",no,negative,37,37,"['43.9', '43.9']","['anaerobe', 'anaerobe', 'anaerobe']",37805.0,244.0,1112.0,94.0,,,
0,Phocaeicola,Phocaeicola vulgatus,,,,,,,anaerobe,,,,,,,
0,Phocaeicola,Phocaeicola vulgatus,"[435590, 435590, 435590, 821, 435590, 435590, 435590, 435590, 604330, 573, 1004279]",,,37,,"['41.0', '42.2', '41']","['anaerobe', 'anaerobe']",152509.0,881.0,2761.0,380.0,,,
0,Phocaeicola,Phocaeicola vulgatus,,,,,,,anaerobe,,,,,,,
0,Barnesiella,Barnesiella viscericola,,,,,,52.2,,,,,,,,
0,Barnesiella,Barnesiella propionica,2981781,,,,,,,,,,,,,
0,Barnesiella,Barnesiella intestinihominis,"[742726, 742726, 742726, 101571]",no,negative,37,37,"['45.5', '43.9', '45.5']","['anaerobe', 'anaerobe']",65981.0,278.0,1533.0,103.0,,,
0,Barnesiella,Barnesiella viscericola,"[880074, 880074, 880074, 880074, 595537]",no,negative,37,,"['52.0', '52', '52']","['anaerobe', 'anaerobe', 'anaerobe']",13231.0,419.0,558.0,119.0,,,
0,Coprobacter,Coprobacter secundus subsp. similis,,,,,,,,,,,,,,
0,Coprobacter,Coprobacter secundus subsp. similis,"[2751153, 2751153]",,,37,,38.4,,,,,,,,
0,Coprobacter,Coprobacter secundus,"[1501392, 1501392]",,,,,"['37.8', '37.8']",,13099.0,38.0,186.0,9.0,,,
0,Coprobacter,Coprobacter fastidiosus,"[1349822, 1349822, 1349822, 1349822, 1349822, 1349822, 1496688, 2496641]",no,negative,37,,"['38.5', '38.5', '38.5', '38.3']","['anaerobe', 'anaerobe']",7856.0,56.0,38.0,7.0,,,
0,Dysgonomonas,Dysgonomonas sp.,,,,,,,,,,,,,,
0,Dysgonomonas,Dysgonomonas capnocytophagoides,,,,,,,microaerophile,,,,,,,
0,Dysgonomonas,Dysgonomonas capnocytophagoides,,,,,,,aerobe,,,,,,,
0,Dysgonomonas,Dysgonomonas mossii,,,,,,,microaerophile,,,,,,,
0,Dysgonomonas,Dysgonomonas mossii,,,,,,,microaerophile,,,,,,,
0,Dysgonomonas,Dysgonomonas capnocytophagoides,,,,,,,microaerophile,,,,,,,
0,Dysgonomonas,Dysgonomonas capnocytophagoides,,,,,,,microaerophile,,,,,,,
0,Dysgonomonas,Dysgonomonas sp.,,,,,,,anaerobe,,,,,,,
0,Dysgonomonas,Dysgonomonas sp.,,,,,,,anaerobe,,,,,,,
0,Dysgonomonas,Dysgonomonas sp.,,,,,,,anaerobe,,,,,,,
0,Dysgonomonas,Dysgonomonas capnocytophagoides,,,,,,,microaerophile,,,,,,,
0,Dysgonomonas,Dysgonomonas oryzarvi,,"['no', 'no']","['negative', 'negative']",37,,"['37.5', '37.5']","['facultative anaerobe', 'anaerobe']",12203.0,933.0,5965.0,388.0,,,
0,Dysgonomonas,Dysgonomonas oryzarvi,,,,,,,,,,,,,,
0,Dysgonomonas,Dysgonomonas termitidis,,,,30,,41.8,"['aerobe', 'anaerobe']",508.0,48.0,103.0,19.0,,,
0,Dysgonomonas,Dysgonomonas hofstadii,"[637886, 1298597, 637886, 1298597, 637886, 1298597, 2774292, 213322]",,,37,,,"['anaerobe', 'microaerophile']",123.0,21.0,19.0,12.0,,,
0,Dysgonomonas,Dysgonomonas alginatilytica,"[1605892, 1605892, 1605892, 220137]",,,,,37.5,,32.0,,14.0,2.0,,,
0,Dysgonomonas,Dysgonomonas macrotermitis,"[1346286, 1346286, 1346286, 1346286, 1346286, 1346286, 592834, 156588]",,,37,,"['40.0', '40']",anaerobe,1295.0,92.0,156.0,26.0,,,
0,Dysgonomonas,Dysgonomonas mossii,"[742767, 742767, 742767, 742767, 742767, 742767, 86027, 166587]",,['negative'],37,,"['38.5', '37.5']","['anaerobe', 'anaerobe', 'microaerophile']",12203.0,933.0,5965.0,388.0,,,
0,Dysgonomonas,Dysgonomonas capnocytophagoides,"[1121485, 1121485, 1121485, 348578]",,,37,,"['38.0', '38']",anaerobe,6908.0,490.0,1143.0,247.0,,,
0,Dysgonomonas,Dysgonomonas gadei,742766,,,37,,39.6,"['anaerobe', 'microaerophile', 'microaerophile']",,,,,,,
0,Dysgonomonas,Dysgonomonas sp.,,,,,,41.0,anaerobe,,,,,,,
0,Dysgonomonas,Dysgonomonas sp.,,,,,,40.0,anaerobe,,,,,,,
0,Petrimonas,Petrimonas mucosa,"[1642646, 1642646]",,negative,37,45,48.2,facultative anaerobe,,,,,,,
0,Petrimonas,Petrimonas sulfuriphila,285070,no,negative,40,38.5,"['40.8', '40.8']","['anaerobe', 'anaerobe']",8360.0,1433.0,5527.0,256.0,,,
0,Proteiniphilum,Proteiniphilum saccharofermentans,"[1642647, 1642647]",,negative,37,35-40,45.1,facultative anaerobe,2734.0,691.0,973.0,248.0,,,
0,Proteiniphilum,Proteiniphilum acetatigenes,"[1123008, 1123008, 1123008, 1313]",yes,negative,37,37,"['46.6', '43.1', '38']","['anaerobe', 'anaerobe']",1558.0,86.0,150.0,86.0,,,
0,Duncaniella,Duncaniella freteri,"[2530391, 2530391]",,,,,,,14894.0,102.0,97.0,86.0,,,
0,Duncaniella,Duncaniella dubosii,"[2518971, 2518971, 2026735]",,,,,,,52210.0,809.0,752.0,191.0,,,
0,Duncaniella,Duncaniella muris,"[2530392, 1930536]",,,,,,,43842.0,323.0,526.0,173.0,,,
0,Duncaniella,Duncaniella muris,"[2094150, 2094150, 2094150, 1280]",,,37,,50.8,,43842.0,323.0,526.0,173.0,,,
0,Muribaculum,Muribaculum caecicola,,,,,,,,,,,,,,
0,Muribaculum,Muribaculum gordoncarteri,,,,,,,,,,,,,,
0,Muribaculum,Muribaculum gordoncarteri,"[2530390, 2530390, 91750]",,['negative'],37,,49.47,anaerobe,39892.0,835.0,883.0,191.0,,,
0,Muribaculum,Muribaculum intestinale,"[1796646, 1796646, 46626]",,,37,,,,68628.0,771.0,717.0,256.0,,,
0,Muribaculum,Muribaculum intestinale,"[1796646, 1796646, 197]",,,37,,,,38008.0,293.0,230.0,154.0,,,
0,Muribaculum,Muribaculum intestinale,"[1796646, 1796646, 1796646, 1796646, 1796646]",,negative,37,,"['49.9', '49.9']","['anaerobe', 'anaerobe']",,,,,,,
0,Sodaliphilus,Sodaliphilus pleomorphus,"[2606626, 2606626, 1773]",,,37,,54.4,,,,,,,,
0,Butyricimonas,Butyricimonas faecalis,"[2093856, 2093856, 2201154]",no,negative,25-42,37,44.2,obligate anaerobe,,,,,,,
0,Butyricimonas,Butyricimonas faecihominis,,,,,,,anaerobe,,,,,,,
0,Butyricimonas,Butyricimonas sp.,,,,,,,anaerobe,,,,,,,
0,Butyricimonas,Butyricimonas faecihominis,,,,,,,,,,,,,,
0,Butyricimonas,Butyricimonas paravirosa,"[1472417, 1472417, 1472417, 1472417, 1472417, 2953655, 2735748]",,,37,,44.9,anaerobe,,,,,,,
0,Butyricimonas,Butyricimonas faecihominis,"[1472416, 1472416, 1472416, 1472416, 1472416, 1472416, 1472416, 2053491, 2056642, 394340]","['yes', 'no']","['positive', 'positive']",37,,"['55.6', '35', '45.2']",['anaerobe'],,,,,,,
0,Butyricimonas,Butyricimonas virosa,"[1121130, 1121130, 1121130, 544645, 2052151, 2053607, 2184738]",no,negative,37,,"['46.5', '45.9', '44.6', '42.3']","['anaerobe', 'anaerobe', 'anaerobe']",2565.0,10.0,35.0,2.0,,,
0,Butyricimonas,Butyricimonas synergistica,"[1121129, 1121129, 1121129, 2080302]",no,negative,37,,"['46.4', '46.4', '44.8', '44.8']","['anaerobe', 'anaerobe', 'anaerobe']",,,,,,,
0,Odoribacter,Odoribacter lunatus,"[2941335, 287]",,,,,,,,,,,,,
0,Odoribacter,Odoribacter splanchnicus,,,,,,,,,,,,,,
0,Odoribacter,Odoribacter splanchnicus,,,,,,,,,,,,,,
0,Odoribacter,Odoribacter splanchnicus,,,,,,,anaerobe,,,,,,,
0,Odoribacter,Odoribacter splanchnicus,,,,,,,anaerobe,,,,,,,
0,Odoribacter,Odoribacter splanchnicus,,,,,,,anaerobe,,,,,,,
0,Odoribacter,Odoribacter splanchnicus,,,,,,,anaerobe,,,,,,,
0,Odoribacter,Odoribacter denticanis,,no,negative,,,,anaerobe,2774.0,37.0,60.0,19.0,,,
0,Odoribacter,Odoribacter laneus,"[742817, 742817, 742817, 1913989]",no,negative,37,,"['42.4', '42.4', '40.5']","['anaerobe', 'anaerobe']",22620.0,190.0,1394.0,34.0,,,
0,Odoribacter,Odoribacter splanchnicus,"[709991, 28118, 709991, 709991, 28118, 709991, 28118, 709991, 2485925, 470, 1667051, 1667051, 194843]",,,37,,43.4,"['anaerobe', 'anaerobe']",218669.0,1276.0,5874.0,414.0,,,
0,Paludibacter,Paludibacter jiangxiensis,681398,,,,,42.8,,,,,,,,
0,Paludibacter,Paludibacter propionicigenes,"[694427, 694427]","['no', 'no']","['negative', 'negative']",30,30,"['39.3', '39.3']","['anaerobe', 'anaerobe', 'obligate anaerobe']",22588.0,846.0,3218.0,379.0,,,
0,Microbacter,Microbacter margulisiae,"[1350067, 1350067, 1350067, 210]",,,30,,39.9,anaerobe,1678.0,91.0,207.0,13.0,,,
0,Porphyromonas,Porphyromonas gingivalis,,,,,,"['49.5', '47.8']",,35027.0,1092.0,1398.0,451.0,,,
0,Porphyromonas,Porphyromonas asaccharolytica,,,,,,,,14984.0,179.0,178.0,21.0,,,
0,Porphyromonas,Porphyromonas pogonae,,,,,,43,,2994.0,63.0,156.0,22.0,,,
0,Porphyromonas,Porphyromonas gingivalis,"[837, 1030843, 470]",,,,,,,35027.0,1092.0,1398.0,451.0,,,
0,Porphyromonas,Porphyromonas gingivicanis,"[1236526, 1236526, 1236526, 244328]",,,,,44-45,,8499.0,241.0,104.0,88.0,,,
0,Porphyromonas,Porphyromonas uenonis,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas pasteri,"[1583331, 1583331, 573]",,,37,,57.04-58.36,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas gulae,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas cangingivalis,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas crevioricanis,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas cangingivalis,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas canoris,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas sp.,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas crevioricanis,"[1305617, 393921, 1305617, 393921, 1305617, 393921, 90371, 1280]",,,,,"['45.9', '44-45']",anaerobe,5285.0,129.0,75.0,26.0,,,
0,Porphyromonas,Porphyromonas sp.,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas macacae,"[1236521, 28115, 28115, 1236521, 1236521, 28115, 573, 244328]",,,37,,42,anaerobe,3731.0,91.0,93.0,47.0,,,
0,Porphyromonas,Porphyromonas sp.,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas sp.,,,,,,,obligate anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas canoris,,,,,,,anaerobe,7207.0,153.0,88.0,38.0,,,
0,Porphyromonas,Porphyromonas gingivalis,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas gingivalis,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas gingivalis,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas gingivalis,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas gingivalis,,,,,,,anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas uenonis,,,,,,,,,,,,,,
0,Porphyromonas,Porphyromonas loveana,"[1884669, 1884669, 1884669, 1773]",no,negative,,,50.2,obligate anaerobe,,,,,,,
0,Porphyromonas,Porphyromonas pogonae,,,,,,,,,,,,,,
0,Porphyromonas,Porphyromonas crevioricanis,"[393921, 1305618, 393921, 393921, 1305618, 1305618, 393921, 573, 1280]",,,37,,"['44-45.9', '49-51', '45.6']",anaerobe,5285.0,129.0,75.0,26.0,,,
0,Porphyromonas,Porphyromonas cangingivalis,"[36874, 1236520, 36874, 36874, 1236520, 36874, 1236520, 36874, 36874, 562, 470, 287]",,,37,,"['55', '55']",anaerobe,15871.0,347.0,354.0,159.0,,,
0,Porphyromonas,Porphyromonas circumdentaria,"[29524, 29524, 29524, 29524, 29524, 29524, 1313, 562]",,,37,,40-42,anaerobe,3485.0,73.0,40.0,25.0,,,
0,Porphyromonas,Porphyromonas gingivalis,"[837, 837]",,,,,,anaerobe,,,,,,,
